Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,Precio biodiésel,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Tipo venta,Rem.,Horario,Tipo servicio
ALBACETE,ABENGIBRE,ABENGIBRE,2250,"AVENIDA CASTILLA LA MANCHA, 26",D,-1.539167,39.211417,2025-04-30 19:24:00,1.399,,,,,1.329,,0.859,,,,,,,,NÂº 10.935,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
ALBACETE,ALATOZ,ALATOZ,2152,"CR CM-332, 46,4",I,-1.346083,39.100389,2025-04-29 18:58:00,1.609,,,,,1.509,1.619,,,,,,,,,REPSOL,P,dm,L-D: 7:00-23:00,L-D: 7:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,2001,"AVENIDA 1Âº DE MAYO, S/N",N,-1.8685,38.985667,2025-04-30 11:00:00,1.419,,,1.609,,1.369,1.409,,,,,,,,,CARREFOUR,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE PRINCIPE DE ASTURIAS (POLÃGONO DE ROMICA), 5",I,-1.832,39.054694,2025-05-01 00:00:00,1.499,,,1.641,,1.439,1.529,,,,,,,,,BP ROMICA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
ALBACETE,ALBACETE,ALBACETE,2001,"CALLE FEDERICO GARCIA LORCA, 1",D,-1.849833,39.000861,2025-04-29 15:39:00,1.399,,,,,1.359,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D)
ALBACETE,ALBACETE,ALBACETE,2005,"CL PASEO DE LA CUBA, 15",D,-1.854556,38.999722,2025-05-01 14:00:00,1.499,,,1.609,,1.429,,,,,,0.959,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,2005,"CALLE CONSTANTINO ROMERO, S/N",D,-1.884444,39.005528,2025-04-29 15:39:00,1.399,,,,,1.359,,,,,,,,,,PLENERGY,P,dm,L-D: 24H,L-D: 24H (D)
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,-1.885361,39.006889,2025-04-30 16:32:00,1.399,,,,,1.359,1.459,,,,,0.828,,,,A&A,P,dm,L-S: 09:00-21:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,2005,"AVENIDA MENÃNDEZ PIDAL, 58",N,-1.864917,39.003333,2025-04-30 10:10:00,1.509,,,1.629,,1.439,1.519,,,,,,,,,TAMOS,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,2005,"PASEO CUBA (LA), 36",N,-1.859917,39.005083,2025-05-01 00:00:00,1.544,,,1.675,,1.467,1.577,,,,,0.994,,,,MOEVE,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
ALBACETE,ALBACETE,ALBACETE,2002,"CALLE HERMANOS FALCÃ, 2",D,-1.849028,38.98925,2025-04-28 10:53:00,1.539,,,1.669,,1.479,1.579,,,,,,,,,CEPSA,P,dm,L-D: 06:30-22:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,2006,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",N,-1.847361,38.988972,2025-04-28 10:58:00,1.399,,,1.559,,1.359,1.399,,,,,,,,,FAMILY ENERGY,P,dm,L-S: 07:00-23:00; D: 08:00-23:00,L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,2006,"CALLE CTRA. DE JAEN, 79",I,-1.883694,38.988111,2025-04-28 10:45:00,1.529,,,1.659,,1.429,1.499,,,,,,,,,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00 (P)
ALBACETE,ALBACETE,ALBACETE,2006,"AVDA. DE LOS TOREROS, S/N",N,-1.869889,38.998222,2025-04-28 00:00:00,1.449,,,,,1.369,1.419,,,,,,,,,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,2006,"CALLE ALMANSA, 2",I,-1.847083,38.984139,2025-04-23 13:35:00,1.519,,,1.678,,1.484,1.558,,,,,,,,,CEPSA,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA JAEN KM. 2,D,-1.871722,38.994667,2025-04-28 07:55:00,1.509,,1.549,1.649,,1.439,1.519,,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,2006,"CR N-322, 337,8",I,-2.031861,38.925833,2025-04-28 08:14:00,1.539,,,1.689,,1.439,1.509,,,,,,,,,REPSOL,P,dm,L-D: 06:30-21:30,L-D: 06:30-21:30 (P)
ALBACETE,ALBACETE,ALBACETE,2006,"PG CAMPOLLANO-P. 2-CT, S.N.",D,-1.874972,39.012583,2025-05-01 00:00:00,1.489,,,1.609,,1.429,1.489,,,,,,,,,REPSOL,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)
ALBACETE,ALBACETE,ALBACETE,2006,"CR N-301, 244",I,-1.892972,39.027778,2025-05-01 14:00:00,1.499,,,1.619,,1.429,1.489,,,,,,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,2006,CARRETERA N-322 KM. 359,D,-1.845083,39.033139,2025-05-01 00:00:00,1.489,,,1.599,,1.419,1.489,,,,,,,,,REPSOL,P,OM,L-V: 07:00-21:00; S-D: 09:00-14:00,Sin datos
ALBACETE,ALBACETE,ALBACETE,2006,"AVDA. DE ESPAÃA (PRÃX. A C/ SAN JUAN), S/N",N,-1.853306,38.982167,2025-04-28 00:00:00,1.449,,,,,1.369,,,,,,,,,,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,2006,"AVENIDA 1Âº DE MAYO, S/N",N,-1.866806,38.985194,2025-04-21 16:27:00,1.409,,,,,1.359,,,,,,,,,,PETROCAMP,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,2099,CARRETERA NACIONAL 301 KM. 256,D,-1.831639,38.929389,2025-04-28 00:00:00,1.449,,,,,1.359,,,,,,,,,,INPEALSA,P,dm,L-D: 24H,"L-S: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); D: 00:00-07:00 (D), 07:00-22:00 (P), 22:00-23:59 (D)"
ALBACETE,ALBACETE,ALBACETE,2004,CARRETERA N-322 KM. 349,D,-1.919778,38.970167,2025-04-28 08:35:00,1.539,,,1.609,,1.499,1.559,,,,,,,,,CEPSA,P,dm,L-D: 24H,L-D: 24H (A)
